Number Atoms:          3
Number Vibrational Modes:          4
Vibrational modes printed here are in Cartesian coordinates (not mass-weighted)
                         0                    1                    2                    3 
            634.1796183774       635.2148187396      1373.4021159595      2405.0617267772 
       -------------------  -------------------  -------------------  ------------------- 
    1         0.0145714250         0.0218059631        -0.1695243522         0.0885444336 
              0.0586350540         0.0664291330         0.0497936637        -0.0260110465 
             -0.0698356254         0.0603247946         0.0064381683        -0.0033596715 
    2        -0.0388534815        -0.0581242093        -0.0000042165        -0.2360355676 
             -0.1563078679        -0.1770899458         0.0000016611         0.0693383547 
              0.1861694478        -0.1608152147        -0.0000057547         0.0089559639 
    3         0.0145779509         0.0218010536         0.1695275156         0.0885385252 
              0.0586331189         0.0664305539        -0.0497949099        -0.0260092535 
             -0.0698358530         0.0603249632        -0.0064338509        -0.0033594370 

