Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0000044095	   0.0000000668	   0.0000005371
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1103712895	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0163844765	   0.0036841677	   0.0004763839
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1122954035	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0164334682	  -0.0037020990	  -0.0004785413
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4041620397	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0036847202	  -0.0049165930	  -0.0001385069
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4022379256	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0037003961	   0.0049272602	   0.0001395017
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1370287204
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0004608582	  -0.0001313197	  -0.0038523200
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1351046064
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0004899429	   0.0001438143	   0.0038547240
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1106115743	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0328264144	  -0.0073881828	  -0.0009540471
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1120551187	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0328148073	   0.0073852539	   0.0009548924
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4039217548	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0073822709	   0.0098447113	   0.0002780468
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4024782105	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0073888985	  -0.0098431621	  -0.0002779898
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1367884356
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0009495682	   0.0002786222	   0.0077107563
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1353448912
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0009515060	  -0.0002761397	  -0.0077076767
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1103712895	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0164321258	   0.0037038452	   0.0004774235
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1122954035	   9.4031999826	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0163913172	  -0.0036836131	  -0.0004762450
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4041620397	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0037061488	  -0.0049279064	  -0.0001393030
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4022379256	   4.1360666634
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0036788089	   0.0049164549	   0.0001387004
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1370287204
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0004922804	  -0.0001425454	  -0.0038551806
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333465	   9.4031999826	   4.1351046064
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0004608057	   0.0001358319	   0.0038515959
