Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1178540433	   1.1141820316	   0.7387408399
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9955588854	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1104702881	   1.1098716087	   0.7422399207
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9941476725	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1252310598	   1.1184901077	   0.7352530295
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4073423170	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1221530292	   1.1417568388	   0.7361742080
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4059311041	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1135306399	   1.0864638414	   0.7412859064
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0403567410
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1143653983	   1.1116323137	   0.7695340054
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0417679539
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1213488047	   1.1167235694	   0.7078827824
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9949125396	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1177901668	   1.1148481303	   0.7390817298
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9947940183	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1179146130	   1.1135234944	   0.7384156630
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066959712	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1171999363	   1.1084323695	   0.7351587448
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4065774499	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1185052375	   1.1198818841	   0.7423102046
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0410030868
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1175305942	   1.1105898674	   0.7360047652
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0411216081
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1181721805	   1.1177124681	   0.7414291303
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9957937885	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1214112649	   1.1151801425	   0.7369383311
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9939127693	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1142888982	   1.1131932844	   0.7405997880
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4075772201	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1171809155	   1.1073339947	   0.7386309323
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4056962010	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1185201971	   1.1210235351	   0.7388886327
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0401218379
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1201861231	   1.1166933620	   0.7203707580
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0420028570
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1155313607	   1.1116772592	   0.7570855677
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9957937885	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1217447082	   1.1168737208	   0.7367631425
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9939127693	   1.4066367106	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1139737472	   1.1115112217	   0.7407163679
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4075772201	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1148593659	   1.0990966515	   0.7450150651
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4056962010	  -3.0410623474
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1208357056	   1.1292453745	   0.7324865907
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0401218379
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1193374422	   1.1177971639	   0.7290008232
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948532789	   1.4066367106	  -3.0420028570
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1163687246	   1.1105758778	   0.7484910424
