Number Atoms:          3
Number Vibrational Modes:          4
Vibrational modes printed here are in Cartesian coordinates (not mass-weighted)
                         0                    1                    2                    3 
            634.0767213592       635.1114537958      1373.4368395358      2404.4868887946 
       -------------------  -------------------  -------------------  ------------------- 
    1        -0.0145740115         0.0218011479        -0.1695265862         0.0885438802 
             -0.0586510295         0.0664160637         0.0497885263        -0.0260076807 
              0.0698216459         0.0603408962         0.0064397653        -0.0033606659 
    2         0.0388596985        -0.0581111035        -0.0000023855        -0.2360377711 
              0.1563506871        -0.1770552214         0.0000007496         0.0693304922 
             -0.1861321906        -0.1608581802        -0.0000056450         0.0089587593 
    3        -0.0145800285         0.0217960364         0.1695283759         0.0885407319 
             -0.0586492680         0.0664175715        -0.0497890887        -0.0260067205 
              0.0698218807         0.0603410959        -0.0064355302        -0.0033605398 

