Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0000022946	   0.0000009975	  -0.0000002517
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1103712762	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0164449712	   0.0036987079	   0.0004784158
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1122953903	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0164879865	  -0.0037156182	  -0.0004804836
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4041620436	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0036957230	  -0.0049283331	  -0.0001390053
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4022379295	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0037173658	   0.0049399286	   0.0001400933
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1370287212
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0004599058	  -0.0001313238	  -0.0038605745
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1351046072
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0004947519	   0.0001448363	   0.0038630755
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1106115611	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0329387254	  -0.0074158168	  -0.0009579700
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1120551054	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0329328509	   0.0074138811	   0.0009589192
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4039217587	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0074131785	   0.0098697317	   0.0002791847
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4024782144	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0074140528	  -0.0098671374	  -0.0002790388
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1367884364
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0009559871	   0.0002801605	   0.0077271347
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1353448920
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0009521776	  -0.0002766444	  -0.0077242821
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1103712762	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0164890256	   0.0037171917	   0.0004793628
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1122953903	   9.4031999866	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0164460032	  -0.0036971474	  -0.0004781844
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4041620436	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0037172188	  -0.0049396420	  -0.0001398004
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4022379295	   4.1360666642
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0036957128	   0.0049291558	   0.0001392936
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1370287212
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0004913512	  -0.0001426164	  -0.0038634575
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.1113333332	   9.4031999866	   4.1351046072
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0004655835	   0.0001368587	   0.0038599267
