  ao# atom#  elem  type  max-exp  min-exp
    0     0     O     S  5.5e+03  5.8e+00
    1     0     O     S  1.6e+01  1.0e+00
    2     0     O     S  2.7e-01  2.7e-01
    3     1     C     S  3.0e+03  3.2e+00
    4     1     C     S  7.9e+00  5.4e-01
    5     1     C     S  1.7e-01  1.7e-01
    6     2     O     S  5.5e+03  5.8e+00
    7     2     O     S  1.6e+01  1.0e+00
    8     2     O     S  2.7e-01  2.7e-01
    9     0     O    Px  1.6e+01  1.0e+00
   10     0     O    Py  1.6e+01  1.0e+00
   11     0     O    Pz  1.6e+01  1.0e+00
   12     0     O    Px  2.7e-01  2.7e-01
   13     0     O    Py  2.7e-01  2.7e-01
   14     0     O    Pz  2.7e-01  2.7e-01
   15     1     C    Px  7.9e+00  5.4e-01
   16     1     C    Py  7.9e+00  5.4e-01
   17     1     C    Pz  7.9e+00  5.4e-01
   18     1     C    Px  1.7e-01  1.7e-01
   19     1     C    Py  1.7e-01  1.7e-01
   20     1     C    Pz  1.7e-01  1.7e-01
   21     2     O    Px  1.6e+01  1.0e+00
   22     2     O    Py  1.6e+01  1.0e+00
   23     2     O    Pz  1.6e+01  1.0e+00
   24     2     O    Px  2.7e-01  2.7e-01
   25     2     O    Py  2.7e-01  2.7e-01
   26     2     O    Pz  2.7e-01  2.7e-01
   27     0     O   Dxy  8.0e-01  8.0e-01
   28     0     O   Dxz  8.0e-01  8.0e-01
   29     0     O   Dyz  8.0e-01  8.0e-01
   30     0     O   Dxx  8.0e-01  8.0e-01
   31     0     O   Dyy  8.0e-01  8.0e-01
   32     0     O   Dzz  8.0e-01  8.0e-01
   33     1     C   Dxy  8.0e-01  8.0e-01
   34     1     C   Dxz  8.0e-01  8.0e-01
   35     1     C   Dyz  8.0e-01  8.0e-01
   36     1     C   Dxx  8.0e-01  8.0e-01
   37     1     C   Dyy  8.0e-01  8.0e-01
   38     1     C   Dzz  8.0e-01  8.0e-01
   39     2     O   Dxy  8.0e-01  8.0e-01
   40     2     O   Dxz  8.0e-01  8.0e-01
   41     2     O   Dyz  8.0e-01  8.0e-01
   42     2     O   Dxx  8.0e-01  8.0e-01
   43     2     O   Dyy  8.0e-01  8.0e-01
   44     2     O   Dzz  8.0e-01  8.0e-01
