  ao# atom#  elem  type  max-exp  min-exp
    0     0     C     S  3.0e+03  3.2e+00
    1     0     C     S  7.9e+00  5.4e-01
    2     0     C     S  1.7e-01  1.7e-01
    3     1     H     S  1.9e+01  6.4e-01
    4     1     H     S  1.6e-01  1.6e-01
    5     2     O     S  5.5e+03  5.8e+00
    6     2     O     S  1.6e+01  1.0e+00
    7     2     O     S  2.7e-01  2.7e-01
    8     3     O     S  5.5e+03  5.8e+00
    9     3     O     S  1.6e+01  1.0e+00
   10     3     O     S  2.7e-01  2.7e-01
   11     0     C    Px  7.9e+00  5.4e-01
   12     0     C    Py  7.9e+00  5.4e-01
   13     0     C    Pz  7.9e+00  5.4e-01
   14     0     C    Px  1.7e-01  1.7e-01
   15     0     C    Py  1.7e-01  1.7e-01
   16     0     C    Pz  1.7e-01  1.7e-01
   17     2     O    Px  1.6e+01  1.0e+00
   18     2     O    Py  1.6e+01  1.0e+00
   19     2     O    Pz  1.6e+01  1.0e+00
   20     2     O    Px  2.7e-01  2.7e-01
   21     2     O    Py  2.7e-01  2.7e-01
   22     2     O    Pz  2.7e-01  2.7e-01
   23     3     O    Px  1.6e+01  1.0e+00
   24     3     O    Py  1.6e+01  1.0e+00
   25     3     O    Pz  1.6e+01  1.0e+00
   26     3     O    Px  2.7e-01  2.7e-01
   27     3     O    Py  2.7e-01  2.7e-01
   28     3     O    Pz  2.7e-01  2.7e-01
   29     0     C   Dxy  8.0e-01  8.0e-01
   30     0     C   Dxz  8.0e-01  8.0e-01
   31     0     C   Dyz  8.0e-01  8.0e-01
   32     0     C   Dxx  8.0e-01  8.0e-01
   33     0     C   Dyy  8.0e-01  8.0e-01
   34     0     C   Dzz  8.0e-01  8.0e-01
   35     2     O   Dxy  8.0e-01  8.0e-01
   36     2     O   Dxz  8.0e-01  8.0e-01
   37     2     O   Dyz  8.0e-01  8.0e-01
   38     2     O   Dxx  8.0e-01  8.0e-01
   39     2     O   Dyy  8.0e-01  8.0e-01
   40     2     O   Dzz  8.0e-01  8.0e-01
   41     3     O   Dxy  8.0e-01  8.0e-01
   42     3     O   Dxz  8.0e-01  8.0e-01
   43     3     O   Dyz  8.0e-01  8.0e-01
   44     3     O   Dxx  8.0e-01  8.0e-01
   45     3     O   Dyy  8.0e-01  8.0e-01
   46     3     O   Dzz  8.0e-01  8.0e-01
