Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1189131004	   1.1236545035	   0.7449328439
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9955790737	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1115125458	   1.1193335784	   0.7484442865
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9941678608	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1263074212	   1.1279748791	   0.7414321045
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4073178917	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1232237183	   1.1512876669	   0.7423387207
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4059066788	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1145786258	   1.0958794305	   0.7475046004
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0403442769
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1154123682	   1.1210797692	   0.7758115171
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0417554898
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1224202622	   1.1262202565	   0.7139873137
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9949327279	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1188376392	   1.1243246147	   0.7452748478
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948142066	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1189864224	   1.1229987398	   0.7446081669
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066715459	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1182595126	   1.1179240357	   0.7413563781
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4065530246	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1195649444	   1.1293421077	   0.7484987092
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0409906227
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1185907381	   1.1200695159	   0.7422096111
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0411091440
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1192311402	   1.1271830813	   0.7476092544
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9958139769	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1224849504	   1.1246582638	   0.7431262839
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9939329577	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1153340577	   1.1226623735	   0.7467957104
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4075527948	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1182382394	   1.1167792946	   0.7448154029
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4056717756	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1195814023	   1.1305254696	   0.7450884529
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0401093737
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1212537582	   1.1261850479	   0.7265024187
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0419903929
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1165823865	   1.1211330255	   0.7633377101
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9958139769	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1228191256	   1.1263539327	   0.7429463792
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9939329577	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1150180418	   1.1209778634	   0.7469166576
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4075527948	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1159091878	   1.1085239649	   0.7512359572
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4056717756	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1219056952	   1.1387744572	   0.7386529221
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0401093737
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1204000933	   1.1272733080	   0.7351539013
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0419903929
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1174247395	   1.1200487790	   0.7547230920
