Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9938560694	   1.4077624196	  -3.0407647963
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1224219155	   1.1908647476	   0.7910971395
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9943535005	   1.4070969334	  -3.0388578901
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1134383282	   1.1054069894	   0.7421796374
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9940004196	   1.4070024488	  -3.0430903870
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1161127035	   1.1233676014	   0.7437703841
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9943720567	   1.4065376190	  -3.0412493614
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1198161281	   1.1273822771	   0.7489675190
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9946307048	   1.4066776900	  -3.0409651879
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1044038614	   1.1257218356	   0.7441196507
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9945768112	   1.4066759420	  -3.0411060192
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1123442304	   1.1246578751	   0.7452553532
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9947102727	   1.4066338698	  -3.0411002248
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1182172771	   1.1235973122	   0.7452989339
Center of Mass (Angs):
	CMx	CMy	CMz
	   1.9948734673	   1.4066122852	  -3.0410498833
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1189137119	   1.1236562061	   0.7449325496
